event,peak_date,origin_date,representation,seed,lead_months,observed_peak,predicted_peak,error,absolute_error
1,2015-11-01,2015-02-01,Full HHSA,62,9,2.21,0.02208340173673559,-2.1879165982632642,2.1879165982632642
2,2018-11-01,2018-08-01,Raw,42,3,1.15,1.3127521431756597,0.16275214317565978,0.16275214317565978
2,2018-11-01,2018-08-01,Raw,52,3,1.15,1.064482558674513,-0.08551744132548689,0.08551744132548689
2,2018-11-01,2018-08-01,Raw,62,3,1.15,1.428704514288411,0.27870451428841103,0.27870451428841103
2,2018-11-01,2018-08-01,EMD-only,42,3,1.15,-0.14592086217619002,-1.29592086217619,1.29592086217619
2,2018-11-01,2018-08-01,EMD-only,52,3,1.15,0.20249158769998793,-0.9475084123000119,0.9475084123000119
2,2018-11-01,2018-08-01,EMD-only,62,3,1.15,0.11326221703040157,-1.0367377829695983,1.0367377829695983
2,2018-11-01,2018-08-01,Full HHSA,42,3,1.15,-0.26437135185526833,-1.4143713518552683,1.4143713518552683
2,2018-11-01,2018-08-01,Full HHSA,52,3,1.15,0.3041223438351326,-0.8458776561648673,0.8458776561648673
2,2018-11-01,2018-08-01,Full HHSA,62,3,1.15,-0.2807610479244459,-1.4307610479244457,1.4307610479244457
2,2018-11-01,2018-05-01,Raw,42,6,1.15,1.1227421400934965,-0.027257859906503423,0.027257859906503423
2,2018-11-01,2018-05-01,Raw,52,6,1.15,1.2211058870793738,0.07110588707937393,0.07110588707937393
2,2018-11-01,2018-05-01,Raw,62,6,1.15,1.0177287497455156,-0.13227125025448427,0.13227125025448427
2,2018-11-01,2018-05-01,EMD-only,42,6,1.15,0.07504910180075999,-1.07495089819924,1.07495089819924
2,2018-11-01,2018-05-01,EMD-only,52,6,1.15,0.24664374466582953,-0.9033562553341704,0.9033562553341704
2,2018-11-01,2018-05-01,EMD-only,62,6,1.15,0.2528225476430026,-0.8971774523569973,0.8971774523569973
2,2018-11-01,2018-05-01,Full HHSA,42,6,1.15,0.21880457135594686,-0.931195428644053,0.931195428644053
2,2018-11-01,2018-05-01,Full HHSA,52,6,1.15,-0.11348140227713369,-1.2634814022771337,1.2634814022771337
2,2018-11-01,2018-05-01,Full HHSA,62,6,1.15,0.4336722867985937,-0.7163277132014062,0.7163277132014062
2,2018-11-01,2018-02-01,Raw,42,9,1.15,0.2732166607892659,-0.876783339210734,0.876783339210734
2,2018-11-01,2018-02-01,Raw,52,9,1.15,0.6397171451102581,-0.5102828548897418,0.5102828548897418
2,2018-11-01,2018-02-01,Raw,62,9,1.15,0.40236207194328993,-0.74763792805671,0.74763792805671
2,2018-11-01,2018-02-01,EMD-only,42,9,1.15,1.43396112246105,0.2839611224610501,0.2839611224610501
2,2018-11-01,2018-02-01,EMD-only,52,9,1.15,0.8915897027794604,-0.25841029722053954,0.25841029722053954
2,2018-11-01,2018-02-01,EMD-only,62,9,1.15,1.4339919067704232,0.2839919067704233,0.2839919067704233
2,2018-11-01,2018-02-01,Full HHSA,42,9,1.15,1.0686726603776735,-0.08132733962232641,0.08132733962232641
2,2018-11-01,2018-02-01,Full HHSA,52,9,1.15,0.1649504655910367,-0.9850495344089631,0.9850495344089631
2,2018-11-01,2018-02-01,Full HHSA,62,9,1.15,0.4834239750491101,-0.6665760249508899,0.6665760249508899
