level,series,method,lead_months,n,correlation,rmse,mae,r2,slope,variance_ratio
signal,Nino34,M0 Persistence,1,130,0.959802845248372,0.22513756478411834,0.1780769230769231,0.9196107994839717,0.9597093578981478,0.9998052041672326
signal,Nino34,M0 Persistence,3,130,0.801456792318148,0.5007924489477422,0.4285384615384615,0.6029602373446263,0.8006563441834694,0.9980035145450793
signal,Nino34,M0 Persistence,6,130,0.4593242897386304,0.8292053656733889,0.6832307692307692,-0.07746522440478953,0.4565262406810487,0.9878537811602848
signal,Nino34,M0 Persistence,9,130,0.16628245368936273,1.026318663963586,0.7963846153846154,-0.6774771528217465,0.1666093271348152,1.0039354089091075
signal,Nino34,M0 Persistence,12,130,-0.006410299703948642,1.123907674828525,0.8625384615384615,-1.0379409108508035,-0.006464728606867996,1.017053797578894
signal,Nino34,M1 Direct NN,1,130,0.8739455523775539,0.4146890174651654,0.31810681174642214,0.7272612481656594,0.7382233020764403,0.7135209779804136
signal,Nino34,M1 Direct NN,3,130,0.6768737360867323,0.637914647197081,0.4828328505551285,0.3557660508240943,0.5052076149687504,0.5570888291880273
signal,Nino34,M1 Direct NN,6,130,0.3749658545192023,0.8338916942289172,0.6426587228354804,-0.0896784220101392,0.2274167308744519,0.3678420562535251
signal,Nino34,M1 Direct NN,9,130,0.29534608240754107,0.8938822851381462,0.6997951126116623,-0.2724854388848985,0.1923349341962127,0.42408598203474573
signal,Nino34,M1 Direct NN,12,130,0.25314754674050427,0.9068668983881424,0.7202186689553117,-0.3268365116495915,0.16352033658940782,0.4172497631653065
signal,Nino34,M2 HHSA single ResNet,1,130,0.8920169162451071,0.4079836659171902,0.34595963118310635,0.7360100868736318,0.948518171637668,1.130694110653736
signal,Nino34,M2 HHSA single ResNet,3,130,0.8531957679612736,0.4212260555411913,0.3430127383807493,0.7191018277512851,0.788421111477391,0.8539237732264892
signal,Nino34,M2 HHSA single ResNet,6,130,0.8890466142993034,0.42827120053891815,0.35771477646422034,0.7125801248404329,0.5603988355933538,0.39732453487194197
signal,Nino34,M2 HHSA single ResNet,9,130,0.8804101802177511,0.4834991427188363,0.3955500755542088,0.6277081088294302,0.4718772317611164,0.2872684523376815
signal,Nino34,M2 HHSA single ResNet,12,130,0.7242446904240187,0.5514688288457488,0.47469249353814646,0.5093494920026945,0.4447498199016324,0.37710381135106447
signal,Nino34,M4 Dual physical reconstruction,1,130,0.9496202261144812,0.2592047364065512,0.20805927164782329,0.8934416106884019,0.9661563135993934,1.0351299635864604
signal,Nino34,M4 Dual physical reconstruction,3,130,0.9367037849075583,0.28200457246120203,0.2276573530869253,0.8740985421356858,0.9301282431954998,0.9860095323977367
signal,Nino34,M4 Dual physical reconstruction,6,130,0.8900054481010481,0.3645025594731375,0.2781468549982569,0.7918002426258322,0.8009420856142135,0.809872958772774
signal,Nino34,M4 Dual physical reconstruction,9,130,0.8456524388477539,0.4397417629880482,0.3462867294270228,0.6920447681485657,0.7712185401317603,0.8317084455914274
signal,Nino34,M4 Dual physical reconstruction,12,130,0.7966475520971058,0.4859739132884661,0.3668095684236034,0.6189725813987985,0.7137439473511269,0.8026984507937635
signal,Nino34,M5 Dual fusion ResNet,1,130,0.22070933752869332,0.7993869950233032,0.6539682763777379,-0.01348176318723393,0.09089210476573933,0.169594165147886
signal,Nino34,M5 Dual fusion ResNet,3,130,0.022774558671222783,1.2285123622940082,1.0421130565004213,-1.3893376192712639,0.013562667357401094,0.35464209240206307
signal,Nino34,M5 Dual fusion ResNet,6,130,-0.13035190562308321,0.8643766237532037,0.7164287404875427,-0.17080638240878865,-0.03482824774667009,0.07138853688501555
