elapsed_s,cpu_percent,rss_mib
0.0010302066802978516,0.0,352.74609375
1.001326560974121,98.0,354.6953125
2.002967357635498,100.8,414.6171875
3.008216381072998,99.5,428.5390625
4.008718967437744,91.0,445.11328125
5.009262561798096,105.9,432.06640625
6.009878396987915,99.9,432.41015625
7.01051926612854,99.9,432.41015625
8.010826587677002,99.0,432.41015625
9.011625289916992,99.9,432.41015625
10.012215852737427,98.9,432.41015625
11.012935638427734,99.9,432.41015625
12.013795852661133,99.9,430.83203125
13.014351844787598,93.9,427.99609375
14.015016078948975,99.9,428.109375
15.015619039535522,99.9,428.109375
16.016077280044556,99.0,428.109375
17.01658344268799,99.9,428.11328125
18.01718258857727,99.9,427.8828125
19.0180447101593,98.9,427.98046875
20.018683910369873,99.9,426.5546875
21.019285202026367,97.9,425.2109375
22.02033829689026,86.0,425.62109375
23.020793437957764,99.9,424.66015625
24.021766185760498,93.9,425.7421875
25.022242307662964,99.0,425.7421875
26.022908687591553,99.9,425.7421875
27.023443460464478,99.9,425.7421875
28.02394938468933,98.0,425.75
29.02432894706726,99.0,426.3125
30.027395009994507,95.7,469.51953125
