date,lead_months,forecast_nino34,forecast_residual,forecast_IA_IMF1,forecast_carrier_IMF1,forecast_IMF1,forecast_IA_IMF2,forecast_carrier_IMF2,forecast_IMF2,forecast_IA_IMF3,forecast_carrier_IMF3,forecast_IMF3,forecast_IA_IMF4,forecast_carrier_IMF4,forecast_IMF4,forecast_IA_IMF5,forecast_carrier_IMF5,forecast_IMF5,forecast_IA_IMF6,forecast_carrier_IMF6,forecast_IMF6
2026-08-01,1,1.896746313992725,0.07292582139372154,0.1351421507116201,0.8773950507513334,0.11857305418226627,0.2650440485362292,-0.9726447235093372,-0.257793695306316,0.7436688054840268,0.9351398221685341,0.695434314512619,1.0906803459202825,0.9898926376744702,1.0796564444827321,0.5539545473046685,-0.7261698233161822,-0.40226507574142684,0.5948720536507455,0.9921720928844465,0.5902154504691289
2026-09-01,2,1.8694042476610364,0.05465826258938439,0.07430459985747427,0.6605096906584312,0.04907890826635884,0.26982966004636866,-0.5257083802509449,-0.14185171352663958,0.7520229051001632,0.9999994293583429,0.7520224759645664,1.0924155192265523,0.9975841925004598,1.0897764536225907,0.5687702664656769,-0.8756455798137945,-0.49804116976018403,0.5808713937664888,0.9705436290284813,0.56376103050496
2026-10-01,3,1.5123397230599187,0.06481528975383924,0.12496082130413069,0.39990918033941547,0.04997297962227507,0.2543879236667077,0.5971730805452331,0.15191362002955344,0.7950863601806933,0.33241885004066424,0.26430169353428346,1.114245193083942,0.7361305122758609,0.8202298847857978,0.5757928085300424,-0.689312406817811,-0.39690112667623056,0.5933309250584695,0.9404656970398293,0.5580073820104002
2026-11-01,4,2.1913783729944143,0.058494551753988336,0.1955669778304162,-0.8487918534294342,-0.16599565758227205,0.22718284192229454,0.9175025405540808,0.20844083463400137,0.8231551511258226,0.9410611617197231,0.7746393427940409,1.1591881212434787,0.8790137097594519,1.0189422507633195,0.5521103347356062,-0.5201688335686546,-0.28719058882061976,0.5915868914119509,0.9872558840139256,0.5840476394519558
2026-12-01,5,1.2517414602951316,0.05503895455558133,0.20803326951088946,-0.597780978103775,-0.12435833132634573,0.2033554697303852,0.7901641470810246,0.16068420129377092,0.8270915792888687,0.23150785140021138,0.19147819443237354,1.1619136162422787,0.6968121059229381,0.8096354738343188,0.5607169220036908,-0.7542496842088325,-0.42292056135183237,0.59130773584878,0.9845694442363113,0.582183528857265
2027-01-01,6,1.568003671980725,0.04636665447717739,0.17417294801760852,-0.7245957299890391,-0.126204974413162,0.17582868034551122,0.4082267234550699,0.07177796606687689,0.8118540682843967,0.9297461610952589,0.7548182033569859,1.1612486280846959,0.5336499259441196,0.6197002443801085,0.5356163197259136,-0.7203958579662286,-0.3858557781896634,0.5877567029587598,0.9993954187939172,0.5874013563024018
2027-02-01,7,0.6552571524967756,0.04837169131170059,0.1389656331577271,-0.8465041819238398,-0.11763498961171019,0.14706650812382974,-0.4419744039008142,-0.0649996322618039,0.8137978872988252,-0.35811228038521636,-0.2914310171932536,1.2126984334358788,0.5552416686815098,0.6733407017883902,0.5372125582429197,-0.31576656779324624,-0.16963376569179614,0.5963937741739228,0.9678909961037089,0.5772441641552486
2027-03-01,8,0.24026098564197834,0.04096617636510075,0.0936407648714725,-0.48353431530470664,-0.045278523126736483,0.13301230373461803,-0.9967093245111003,-0.13257460340699645,0.8300611201523949,-0.5801432615176972,-0.4815543655042435,1.2035816652088154,0.16743414649225613,0.20152066884796638,0.5497418367131517,0.13392436065185132,0.07362382400538328,0.5864096679069836,0.9951367455184392,0.5835578084615044
2027-04-01,9,-0.5578846986204362,0.05186452980629855,0.06573881942613585,0.99029537491197,0.06510084882987549,0.11839457655687086,-0.9848660769229802,-0.11660280214252285,0.8300206570038546,-0.9955656058743212,-0.8263400182782447,1.2315992034792191,-0.07160641534185329,-0.08819040409902865,0.540425370606713,-0.4067804166891329,-0.2198344574447778,0.5824247359682776,0.9891709076369698,0.5761176047079637
2027-05-01,10,-0.21056795232613584,0.03321889283634989,0.06977209048592098,-0.8403351568190255,-0.05863194060007764,0.11485389069831609,-0.6192107539612218,-0.07111876425468407,0.7997979506535433,-0.8102228647809304,-0.648014586824431,1.2226566902784222,-0.06614491125900084,-0.08087251827868991,0.550155798139996,0.047742033491362544,0.026265556540266983,0.5886743968142207,0.9998488322923973,0.58858540825513
2027-06-01,11,-1.4157579712690493,0.030537829169018677,0.09716459179429808,-0.9420342742830049,-0.091532375716946,0.10680068548129468,-0.8089903756019986,-0.0864007266620635,0.7933580434207088,-0.7110848643442036,-0.5641448966821975,1.2456998713455945,-0.7763592965245415,-0.9671106757985776,0.5400494337570387,-0.5994940249624996,-0.32375640872172595,0.5909312971643611,0.9927537870451841,0.5866492831434426
2027-07-01,12,-0.5247984108597062,0.03859216605814954,0.11612093126731518,-0.6002910018785851,-0.06970635016953095,0.0990168647198382,-0.36367613993713194,-0.036010071149987936,0.7586478253888455,-0.3928336239658096,-0.2980223745612809,1.2694333384713943,-0.7141910387753047,-0.906617914658888,0.5231056167231769,0.3517742345330673,0.18401507790274363,0.5747548291826418,0.9794629416505475,0.5629510557190882
2027-08-01,13,-0.25243164860444706,0.030935154136518664,0.1304304444498454,0.1870367170321712,0.024395282130946057,0.09605132590309495,0.9543698610333288,0.0916684905542037,0.7808683239334788,-0.22216073526266292,-0.1734782809883849,1.2225859946614432,-0.7755175891042791,-0.9481369430524995,0.5265010134045178,0.28422134081266964,0.14964282396906142,0.5785912862827114,0.989544499233872,0.5725418246457075
2027-09-01,14,-0.30415559478721943,0.03374679483124775,0.1322023917024495,-0.7454401973848479,-0.09854897696542293,0.08227985515627637,0.9605902455443084,0.07903722626791765,0.7461697303288084,0.25535293025323724,0.19053662710572905,1.2672440251864951,-0.9430253169186663,-1.195043198464781,0.5330612893824627,0.19974227181742119,0.10647487295917687,0.5841408291474358,0.9922967725521081,0.579641059478913
2027-10-01,15,-0.030255727395865684,0.02553723336220981,0.11300923020789348,-0.3182342092915372,-0.03596340301785428,0.07644614517951127,0.2520352129839963,0.019267120482123624,0.7306949299896968,0.8396984154822322,0.613563374913249,1.2720983028821387,-0.9037577734672574,-1.1496687298442385,0.4944722506443917,-0.026210018875341374,-0.012960127022722038,0.5688469049469833,0.8964956991000873,0.5099688037313668
2027-11-01,16,0.21951340706385508,0.025463815401687004,0.1081830389527792,0.3567934967972093,0.03859900476211079,0.05431256445105431,-0.6930312399419333,-0.037640303885940335,0.6778345321181647,0.7140726800589775,0.4840231209861409,1.2508460418047718,-0.960040483117592,-1.2008628382799809,0.5102874809177742,0.704783289522144,0.3596420894031972,0.569880134055045,0.9656215154597539,0.5502885186766403
2027-12-01,17,0.49802791775772726,0.016367118495064087,0.10414002698482076,0.6871991435215291,0.07156493735027776,0.03902120241989859,-0.933348776047043,-0.03642039151849626,0.6670507547622402,0.9901494645817265,0.6604799476766686,1.2325831706599504,-0.8782430976251856,-1.0825076618810676,0.4941828875328559,0.6251792858449516,0.3089529047045869,0.5819963236198143,0.9615027453270363,0.5595910629306937
2028-01-01,18,0.6416325070042219,0.02252523972596486,0.0922364128997565,0.8215447161698466,0.07577633765625523,0.047052416736499125,-0.4799027762053943,-0.022580585419019087,0.6565615965068373,0.9594821694357764,0.6299591449845972,1.2276213750439378,-0.9015518157166824,-1.1067642796834725,0.5268221206166036,0.9818855543880638,0.5172790299655292,0.5951720469878887,0.8828331613246266,0.525437619774367
2028-02-01,19,0.6291798221445353,0.024252334876396164,0.08392063225596773,0.8954432816864308,0.07514616634848388,0.028613745308724625,0.6780584541909653,0.019401791912647806,0.6244738986288039,0.9622688771088252,0.6009117972173095,1.1953639266050535,-0.7427521363581162,-0.8878591102113299,0.5286099558215633,0.6651011721093316,0.3515791012055838,0.5801007282034057,0.7683971405723656,0.44574774079544405
