representation,lead_months,n_events,rmse,mae,bias,mean_seed_std
EMD-only,3,4,1.4618851458424629,1.2738119028654047,-1.0669356433453914,0.23621623300496628
EMD-only,6,4,1.7657188639702277,1.4913960823748382,-1.3307099896486672,0.26520414095962813
EMD-only,9,4,1.7900869691976855,1.219503955418032,-1.1611170680122562,0.25449657361911915
Full HHSA,3,4,1.3880049170496689,1.211216340256748,-1.211216340256748,0.26252674048773456
Full HHSA,6,4,1.6540567914849233,1.454780153182382,-1.454780153182382,0.21156643647947115
Full HHSA,9,4,1.5789884238259224,1.4016739315994116,-1.4016739315994116,0.3735664646283832
Raw,3,4,0.9470012934395576,0.6612862015492993,-0.6019629988595352,0.13432454795628984
Raw,6,4,1.3588035975468427,1.0596905396853606,-1.0596905396853606,0.19120209498602786
Raw,9,4,1.7101501170560571,1.539715309439633,-1.539715309439633,0.35463065246048003
