date,lead_months,method,forecast_mean,forecast_min_seed,forecast_max_seed,forecast_std_seed
2026-08-01 00:00:00,1,Raw,1.293651965364051,0.983112128512529,1.4864634764817561,0.20500520352081808
2026-09-01 00:00:00,2,Raw,1.3257741556572278,0.9601706019698415,1.7587546837306607,0.28948227108799285
2026-10-01 00:00:00,3,Raw,1.2401837917030898,0.8016171856527285,1.6194426135167597,0.2983894580850146
2026-11-01 00:00:00,4,Raw,1.145091935462958,0.7859015676686227,1.5543530593417048,0.24556286544618539
2026-12-01 00:00:00,5,Raw,0.983065230360995,0.6433131685904655,1.3500412925269412,0.2980736485836908
2027-01-01 00:00:00,6,Raw,0.7966396760561171,0.2161886906167412,1.280923818362108,0.367130618936022
2027-02-01 00:00:00,7,Raw,0.804134055820257,0.5223767548180366,1.1633656170133058,0.253324817322747
2027-03-01 00:00:00,8,Raw,0.49586526120996766,0.09239320044532517,0.7920638877918736,0.25928627931373205
2027-04-01 00:00:00,9,Raw,0.27470875562113645,-0.003486445829603918,0.5500547782475693,0.22977193435822063
2027-05-01 00:00:00,10,Raw,0.13621051041055726,-0.01572477355597604,0.3003477472351947,0.12445446589597017
2027-06-01 00:00:00,11,Raw,-0.00486040625002358,-0.38192109994413437,0.23080735551459328,0.2805933091074698
2027-07-01 00:00:00,12,Raw,-0.11496105601730804,-0.5612201933226771,0.18823207921876145,0.28134351862133855
2027-08-01 00:00:00,13,Raw,-0.2672378387675309,-0.5903747509174279,-0.15379675372580037,0.1666386585439528
2027-09-01 00:00:00,14,Raw,-0.5964121327474007,-0.7779498830280093,-0.3247868629327364,0.1524730987072785
2027-10-01 00:00:00,15,Raw,-0.4714612790209539,-0.765393038682098,-0.144285390703037,0.23585244137735142
2027-11-01 00:00:00,16,Raw,-0.3732983914331727,-0.4384085791612422,-0.23692660418856948,0.07300557345880013
2027-12-01 00:00:00,17,Raw,-0.7130995616497326,-1.0474957656348451,-0.43180393591129723,0.20817070222422096
2028-01-01 00:00:00,18,Raw,-0.5173429443555335,-0.753342478162779,-0.2931542001859885,0.1493787901806285
2028-02-01 00:00:00,19,Raw,-0.6124522089319908,-0.8318924146739353,-0.5176838557461054,0.11360425134122461
2028-03-01 00:00:00,20,Raw,-0.5387885325257911,-0.6816558104192102,-0.31505360726288,0.1376349428162833
2028-04-01 00:00:00,21,Raw,-0.5962667882216974,-0.8528222492339464,-0.47959880192474286,0.13128801239374513
2028-05-01 00:00:00,22,Raw,-0.7230338231593668,-0.8678406623056102,-0.3803674174719027,0.18270788765022403
2028-06-01 00:00:00,23,Raw,-0.5809173227404826,-0.863665154529146,-0.38459160809164844,0.16421692247412742
2028-07-01 00:00:00,24,Raw,-0.601878647007282,-0.7831401151316063,-0.36853644572742117,0.15994917148646945
2028-08-01 00:00:00,25,Raw,-0.6663061710177035,-0.8451561117352069,-0.4456538080872103,0.15008332722397275
2028-09-01 00:00:00,26,Raw,-0.7059971708326815,-1.109383596642593,-0.49041967702291867,0.22612685724713885
2028-10-01 00:00:00,27,Raw,-0.5768560496724043,-0.8133230037911378,-0.34362660002174894,0.1567537307743509
2028-11-01 00:00:00,28,Raw,-0.43763922915806147,-0.69867968641953,-0.3586671502279981,0.13198194427003834
